nameEN,nameOriginal,type,gov,email,dept,phone,website,address,source,confidence,checkedAt,notes
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,relations@stu.edu.iq,Media,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
University of Basrah,جامعة البصرة,public_uni,basra,raghdan.mohsin@uobasrah.edu.iq,,,https://www.uobasrah.edu.iq,(استخدام تقنية المعالجة الحيوية للترب... قراءة المزيد Media 2026-06-08 جامعة البصرة تبحث تأثير قشور الرمان والحرمل على م,https://www.uobasrah.edu.iq/about,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,quality@stu.edu.iq,,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,qti@stu.edu.iq,,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,projects@stu.edu.iq,Media,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
University of Mosul,جامعة الموصل,public_uni,nineveh,presidentpresident@uomosul.edu.iq,,964568359375,https://www.uomosul.edu.iq,الجامعة شارع المجموعة الثقافية الرئيسي الرمز البريدي : 41002 الموصل – العراق تواصل معنا جميع الحقوق محفوظة لجامعة الموصل,https://www.uomosul.edu.iq/en/contact,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,presidency@stu.edu.iq,President Office,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
Wasit University,جامعة واسط,public_uni,wasit,po@uowasit.edu.iq,,964808778097,https://www.uowasit.edu.iq,,https://www.uowasit.edu.iq,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,planning@stu.edu.iq,,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,office@stu.edu.iq,,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,nti@stu.edu.iq,,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
Cihan University – Sulaymaniyah,زانكۆی جیهان – سلێمانی,private_uni,sulaymaniyah,nh.admission@cihanuniversity.edu.iq,,,https://www.cihanuniversity.edu.iq/sulaymaniyah,Erbil – 100 m road – Cihan University Erbil – Building No. 7 – Ground floor – Admission office. Mr. Hunar Mohamad Hussei,https://www.cihanuniversity.edu.iq/sulaymaniyah/admission,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,monitor@stu.edu.iq,Finance,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
University of Basrah,جامعة البصرة,public_uni,basra,mofeed.rashid@uobasrah.edu.iq,,,https://www.uobasrah.edu.iq,(استخدام تقنية المعالجة الحيوية للترب... قراءة المزيد Media 2026-06-08 جامعة البصرة تبحث تأثير قشور الرمان والحرمل على م,https://www.uobasrah.edu.iq/about,99,2026-06-10 00:00:00,
Tikrit University,جامعة تكريت,public_uni,salahaldeen,mgrd@tu.edu.iq,Human Resources,,https://www.tu.edu.iq,"باللون التركوازي الجامعي */ .hero-main-title { font-size: clamp(22px, 2.5vw, 28px); font-weight: 800; color: var(--tu-te",https://www.tu.edu.iq,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,media@stu.edu.iq,Media,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
University of Basrah,جامعة البصرة,public_uni,basra,mazen.abdulridha@uobasrah.edu.iq,,,https://www.uobasrah.edu.iq,(استخدام تقنية المعالجة الحيوية للترب... قراءة المزيد Media 2026-06-08 جامعة البصرة تبحث تأثير قشور الرمان والحرمل على م,https://www.uobasrah.edu.iq/about,99,2026-06-10 00:00:00,
University of Basrah,جامعة البصرة,public_uni,basra,majid.abed@uobasrah.edu.iq,,,https://www.uobasrah.edu.iq,(استخدام تقنية المعالجة الحيوية للترب... قراءة المزيد Media 2026-06-08 جامعة البصرة تبحث تأثير قشور الرمان والحرمل على م,https://www.uobasrah.edu.iq/about,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,legal@stu.edu.iq,Finance,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
University of Kirkuk,جامعة كركوك,public_uni,kirkuk,kirkuk_univ@uokirkuk.edu.iq,,96425174738,https://www.uokirkuk.edu.iq,*/ .uok-portal-band-header { text-align: center; margin-bottom: 2rem; } .uok-portal-band-header h2 { font-size: 2.2rem;,https://www.uokirkuk.edu.iq,99,2026-06-10 00:00:00,
Cihan University – Sulaymaniyah,زانكۆی جیهان – سلێمانی,private_uni,sulaymaniyah,kh.admission@cihanuniversity.edu.iq,,,https://www.cihanuniversity.edu.iq/sulaymaniyah,Erbil – 100 m road – Cihan University Erbil – Building No. 7 – Ground floor – Admission office. Mr. Hunar Mohamad Hussei,https://www.cihanuniversity.edu.iq/sulaymaniyah/admission,99,2026-06-10 00:00:00,
Cihan University – Sulaymaniyah,زانكۆی جیهان – سلێمانی,private_uni,sulaymaniyah,jawan.hussien@cihanuniversity.edu.iq,,,https://www.cihanuniversity.edu.iq/sulaymaniyah,Erbil – 100 m road – Cihan University Erbil – Building No. 7 – Ground floor – Admission office. Mr. Hunar Mohamad Hussei,https://www.cihanuniversity.edu.iq/sulaymaniyah/registration,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,itsupport@stu.edu.iq,Computer Science,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,it@stu.edu.iq,President Office,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
University of Diyala,جامعة ديالى,public_uni,diyala,info@uodiyala.edu.iq,,964726981148,https://www.uodiyala.edu.iq,"PO Box 97845 Baker st. 567, Los Angeles, California, US. Facebook Twitter Google-plus Pinterest Send a message Your emai",https://www.uodiyala.edu.iq,99,2026-06-10 00:00:00,
University of Basrah,جامعة البصرة,public_uni,basra,info@uobasrah.edu.iq,,,https://www.uobasrah.edu.iq,(استخدام تقنية المعالجة الحيوية للترب... قراءة المزيد Media 2026-06-08 جامعة البصرة تبحث تأثير قشور الرمان والحرمل على م,https://www.uobasrah.edu.iq,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,info@stu.edu.iq,,964801095591,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq,99,2026-06-10 00:00:00,
Sulaimani Polytechnic University,زانكۆی پۆلیتەكنیكی سلێمانی,private_uni,sulaymaniyah,info@spu.edu.iq,,,https://www.spu.edu.iq,,https://www.spu.edu.iq/en/contact,99,2026-06-10 00:00:00,
University of Al-Qadisiyah,جامعة القادسية,public_uni,qadisiyyah,info@qu.edu.iq,,964402847341,https://www.qu.edu.iq,بريدك الإلكتروني. الحقول الإلزامية مشار إليها بـ * التعليق * الاسم * البريد الإلكتروني * الموقع الإلكتروني تواصل معنا ال,https://www.qu.edu.iq,99,2026-06-10 00:00:00,
Lebanese French University,زانكۆی فرەنسی لوبنانی,private_uni,erbil,info@lfu.edu.krd,,964513080510,https://www.lfu.edu.krd,,https://www.lfu.edu.krd,99,2026-06-10 00:00:00,
Al-Esraa University College,كلية الإسراء الجامعة,private_uni,baghdad,info@esraa.edu.iq,,96418866258,https://www.esraa.edu.iq,(موقع الجامعة بوابة التميز والنجاح – آليات العمل وسبل التطوير) ورشة تخصصية بعنوان (الأتمتة والتعليم في الجامعات) جامعة ا,https://www.esraa.edu.iq,99,2026-06-10 00:00:00,
Cihan University – Erbil,زانكۆی جیهان – هەولێر,private_uni,erbil,info@cihanuniversity.edu.iq,,964447265625,https://www.cihanuniversity.edu.iq,,https://www.cihanuniversity.edu.iq/contact,99,2026-06-10 00:00:00,
Cihan University – Sulaymaniyah,زانكۆی جیهان – سلێمانی,private_uni,sulaymaniyah,hunar.m.hussein@cihanuniversity.edu.iq,,964425375840,https://www.cihanuniversity.edu.iq/sulaymaniyah,Erbil – 100 m road – Cihan University Erbil – Building No. 7 – Ground floor – Admission office. Mr. Hunar Mohamad Hussei,https://www.cihanuniversity.edu.iq/sulaymaniyah/admission,99,2026-06-10 00:00:00,
Cihan University – Sulaymaniyah,زانكۆی جیهان – سلێمانی,private_uni,sulaymaniyah,hozan.reg@cihanuniversity.edu.iq,,,https://www.cihanuniversity.edu.iq/sulaymaniyah,Erbil – 100 m road – Cihan University Erbil – Building No. 7 – Ground floor – Admission office. Mr. Hunar Mohamad Hussei,https://www.cihanuniversity.edu.iq/sulaymaniyah/registration,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,followup@stu.edu.iq,President Office,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,finance@stu.edu.iq,Finance,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,fgs@stu.edu.iq,Engineering,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
University of Basrah,جامعة البصرة,public_uni,basra,fateh.abdullateef@uobasrah.edu.iq,,,https://www.uobasrah.edu.iq,(استخدام تقنية المعالجة الحيوية للترب... قراءة المزيد Media 2026-06-08 جامعة البصرة تبحث تأثير قشور الرمان والحرمل على م,https://www.uobasrah.edu.iq/about,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,dormitory@stu.edu.iq,Education,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
University of Basrah,جامعة البصرة,public_uni,basra,dhia.alfekaiki@uobasrah.edu.iq,,,https://www.uobasrah.edu.iq,(استخدام تقنية المعالجة الحيوية للترب... قراءة المزيد Media 2026-06-08 جامعة البصرة تبحث تأثير قشور الرمان والحرمل على م,https://www.uobasrah.edu.iq/about,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,cec@stu.edu.iq,Education,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,cdc@stu.edu.iq,,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
Sulaimani Polytechnic University,زانكۆی پۆلیتەكنیكی سلێمانی,private_uni,sulaymaniyah,cdc@spu.edu.iq,Human Resources,964533351347,https://www.spu.edu.iq,,https://www.spu.edu.iq/en/contact,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,bti@stu.edu.iq,,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,bmtc@stu.edu.iq,Medical,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,bhtc@stu.edu.iq,Medical,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,betc@stu.edu.iq,Engineering,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
University of Basrah,جامعة البصرة,public_uni,basra,aqeel.fadhil@uobasrah.edu.iq,,,https://www.uobasrah.edu.iq,(استخدام تقنية المعالجة الحيوية للترب... قراءة المزيد Media 2026-06-08 جامعة البصرة تبحث تأثير قشور الرمان والحرمل على م,https://www.uobasrah.edu.iq/about,99,2026-06-10 00:00:00,
University of Anbar,جامعة الأنبار,public_uni,anbar,anbar_university@uoanbar.edu.iq,,,https://www.uoanbar.edu.iq,"is invalid!""); document.getElementById(""EMail"").focus(); return false;} } return true; } var atomPat=new RegExp(""^"" + at",https://www.uoanbar.edu.iq,99,2026-06-10 00:00:00,
University of Basrah,جامعة البصرة,public_uni,basra,amal.mohemd@uobasrah.edu.iq,,,https://www.uobasrah.edu.iq,(استخدام تقنية المعالجة الحيوية للترب... قراءة المزيد Media 2026-06-08 جامعة البصرة تبحث تأثير قشور الرمان والحرمل على م,https://www.uobasrah.edu.iq/about,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,admn@stu.edu.iq,President Office,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
University of Diyala,جامعة ديالى,public_uni,diyala,admin@uodiyala.edu.iq,,,https://www.uodiyala.edu.iq,"PO Box 97845 Baker st. 567, Los Angeles, California, US. Facebook Twitter Google-plus Pinterest Send a message Your emai",https://www.uodiyala.edu.iq,99,2026-06-10 00:00:00,
University of Babylon,جامعة بابل,public_uni,babil,admin@uobabylon.edu.iq,,964804765916,https://www.uobabylon.edu.iq,,https://www.uobabylon.edu.iq,99,2026-06-10 00:00:00,
University of Human Development,زانكۆی گەشەسەندنی مرۆڤایەتی,public_uni,sulaymaniyah,abc@uhd.edu.iq,,964812613473,https://www.uhd.edu.iq,,https://www.uhd.edu.iq/contactus,99,2026-06-10 00:00:00,
Baghdad College of Economic Sciences,كلية بغداد للعلوم الاقتصادية الجامعة,private_uni,baghdad,590822318_1273862964785222_6943898034113282488_n-500x383@2x.jpg,Human Resources,964822000443,https://www.baghdadcollege.edu.iq,“الاحتيال المالي”، معرض الصور ورشة عمل بعنوان “الاحتيال المالي”، ورشة عمل بعنوان “الاحتيال المالي”، ورشة عمل جديدة ضمن ب,https://www.baghdadcollege.edu.iq/faculty,60,2026-06-10 00:00:00,
Baghdad College of Economic Sciences,كلية بغداد للعلوم الاقتصادية الجامعة,private_uni,baghdad,586835609_1272700751568110_1773714221174347053_n-500x383@2x.jpg,Human Resources,,https://www.baghdadcollege.edu.iq,“الاحتيال المالي”، معرض الصور ورشة عمل بعنوان “الاحتيال المالي”، ورشة عمل بعنوان “الاحتيال المالي”، ورشة عمل جديدة ضمن ب,https://www.baghdadcollege.edu.iq/faculty,60,2026-06-10 00:00:00,
Baghdad College of Economic Sciences,كلية بغداد للعلوم الاقتصادية الجامعة,private_uni,baghdad,585407836_1267637288741123_4013697999358760367_n-500x383@2x.jpg,Human Resources,,https://www.baghdadcollege.edu.iq,“الاحتيال المالي”، معرض الصور ورشة عمل بعنوان “الاحتيال المالي”، ورشة عمل بعنوان “الاحتيال المالي”، ورشة عمل جديدة ضمن ب,https://www.baghdadcollege.edu.iq/faculty,60,2026-06-10 00:00:00,
Baghdad College of Economic Sciences,كلية بغداد للعلوم الاقتصادية الجامعة,private_uni,baghdad,577926409_1248452677316587_4130677121717634768_n-500x383@2x.jpg,Science,,https://www.baghdadcollege.edu.iq,“الاحتيال المالي”، معرض الصور ورشة عمل بعنوان “الاحتيال المالي”، ورشة عمل بعنوان “الاحتيال المالي”، ورشة عمل جديدة ضمن ب,https://www.baghdadcollege.edu.iq/faculty,60,2026-06-10 00:00:00,
Karbala University College,كلية كربلاء الجامعة,private_uni,karbala,,,,https://www.karbalauni.edu.iq,,https://www.karbalauni.edu.iq,20,2026-06-10 00:00:00,No contact found
Technical Institute of Ramadi,المعهد التقني / الرمادي,tech_institute,anbar,,,,https://www.ntu.edu.iq/ramadi,"Northern Technical University Al-Minassa St., Mosul City, Nineveh Governorate, Iraq Contact us !function(t,e){t.artibotA",https://www.ntu.edu.iq/ramadi,20,2026-06-10 00:00:00,No contact found
University of Al-Muthanna,جامعة المثنى,public_uni,muthanna,,,964867179504,https://www.uom.edu.iq,,https://www.uom.edu.iq,40,2026-06-10 00:00:00,Phone only
Technical Institute of Nasiriyah,المعهد التقني / الناصرية,tech_institute,dhiqar,,,,https://www.stu.edu.iq/nasiriyah,,https://www.stu.edu.iq/nasiriyah,20,2026-06-10 00:00:00,No contact found
University of Misan,جامعة ميسان,public_uni,maysan,,,,https://www.uomisan.edu.iq,,https://www.uomisan.edu.iq,20,2026-06-10 00:00:00,No contact found
University of Karbala,جامعة كربلاء,public_uni,karbala,,,,https://www.uokerbala.edu.iq,&#8220;التوجه القضائي بملاحقة صناع المحتوى الهابط&#8221;، بحضور... اقرأ المزيد رسالة ماجستير في جامعة كربلاء تبحث أثر اس,https://www.uokerbala.edu.iq,20,2026-06-10 00:00:00,No contact found
Technical Institute of Tikrit,المعهد التقني / تكريت,tech_institute,salahaldeen,,,,https://www.ntu.edu.iq/tikrit,"Northern Technical University Al-Minassa St., Mosul City, Nineveh Governorate, Iraq Contact us !function(t,e){t.artibotA",https://www.ntu.edu.iq/tikrit,20,2026-06-10 00:00:00,No contact found
SABIS International School University,زانكۆی ساپیس,private_uni,sulaymaniyah,,,,https://www.sabis.net,,https://www.sabis.net,20,2026-06-10 00:00:00,No contact found
Sulaimani Language Institute,ئینستیتیوتی زمانی سلێمانی,language_inst,sulaymaniyah,,,,https://www.sli.edu.iq,,https://www.sli.edu.iq,20,2026-06-10 00:00:00,No contact found
Technical Institute of Hillah,المعهد التقني / الحلة,tech_institute,babil,,,,https://www.fatu.edu.iq/hillah,,https://www.fatu.edu.iq/hillah,20,2026-06-10 00:00:00,No contact found
University of Duhok,زانكۆی دهۆك,public_uni,duhok,,,,https://www.uod.ac,,https://www.uod.ac,20,2026-06-10 00:00:00,No contact found
Technical Institute of Diyala,المعهد التقني / ديالى,tech_institute,diyala,,,,https://www.ntu.edu.iq/diyala,,https://www.ntu.edu.iq/diyala,20,2026-06-10 00:00:00,No contact found
Nawroz University – Duhok,زانكۆی نەورۆز – دهۆك,private_uni,duhok,,,,https://www.nawroz.edu.krd,"Tanahi Quarter, Duhok - Kurdistan Region of Iraq Send us a Message Full Name * Email Address * Message * Send Message Co",https://www.nawroz.edu.krd,20,2026-06-10 00:00:00,No contact found
Catholic University – Duhok,جامعة كاتوليكية – دهوك,private_uni,duhok,,,,https://www.cueb.edu.iq/duhok,,https://www.cueb.edu.iq/duhok,20,2026-06-10 00:00:00,No contact found
Technical Institute of Duhok,المعهد التقني / دهوك,tech_institute,duhok,,,,https://www.uod.ac/institutes,,https://www.uod.ac/institutes,20,2026-06-10 00:00:00,No contact found
Technical Institute of Kirkuk,المعهد التقني / كركوك,tech_institute,kirkuk,,,,https://www.ntu.edu.iq/kirkuk,,https://www.ntu.edu.iq/kirkuk,20,2026-06-10 00:00:00,No contact found
University of Kufa,جامعة الكوفة,public_uni,najaf,,,964819377794,https://www.uokufa.edu.iq,“الموروث الحضاري والقيم الأخلاقية والدينية &hellip; أكمل القراءة &raquo; جامعة الكوفة تعقد ورشة عمل حول إعداد وتهيئة معا,https://www.uokufa.edu.iq,40,2026-06-10 00:00:00,Phone only
