"institution_name","contact_name","email","phone","department","governorate","institution_type","language","source","status","notes"
"Sheikh Mohammed Al Kasinzan University College","","","6688 ; 07801117262 ; 07815104556","","Salah al-Din","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: https://alsalam.edu.iq"
"كلية الباني الجامعة","","","07718777717 ; 07866900663","","Salah al-Din","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: albani.edu.iq surfaced in guide indexing; socials exist on WordPress/Instagram footprint"
"Al Yarmouk University College","","","07737497053","","Salah al-Din","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: http://al-yarmok.com"
"Baghdad College","","","07827203218","","Salah al-Din","school","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: http://www.baghdadcollege.net/"
"Al-Turath University","","","6112 ; 6113","","Salah al-Din","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: https://uoturath.edu.iq/"
"Al Mansour University College","","","07814238373 ; 07752100100 ; 07852100100","","Babil","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: https://www.muc.edu.iq"
"Baghdad Pharmacy College","","","07806020473 ; 07906321215","","Babil","university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: http://www.bpc.edu.iq/pharmacy/index.php?lang=en"
"University of Baghdad","","","07827203218","","Babil","public university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: http://www.uobaghdad.edu.iq"
"Sheikh Mohammed Al Kasinzan University College","","","6688 ; 07801117262 ; 07815104556","","Babil","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: https://alsalam.edu.iq"
"كلية الباني الجامعة","","","07718777717 ; 07866900663","","Babil","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: albani.edu.iq surfaced in guide indexing; socials exist on WordPress/Instagram footprint"
"Al Yarmouk University College","","","07737497053","","Babil","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: http://al-yarmok.com"
"Al-Turath University","","","6112 ; 6113","","Babil","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: https://uoturath.edu.iq/"
"Gilgamesh University","","","9647730000000.0","","Baghdad","private university","","academic_institutions_import","active","Website: https://www.gau.edu.iq/index.html"
"Gilgamesh University","","","9647730000000.0","","Diyala","private university","","academic_institutions_import","active","Website: https://www.gau.edu.iq/index.html"
"Gilgamesh University","","","9647730000000.0","","Salah al-Din","private university","","academic_institutions_import","active","Website: https://www.gau.edu.iq/index.html"
"Gilgamesh University","","","9647730000000.0","","Babil","private university","","academic_institutions_import","active","Website: https://www.gau.edu.iq/index.html"
"Al-Rafidain University","","","07711114806 ; 07711113806 ; 07818391111 ; 07818310000 ; 6068","","Baghdad","Private university/college","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: not found"
"Al-Mamoun University","","","7565 ; 6609 ; 07840474047 ; 07740474047","","Baghdad","Private university/college","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: not found"
"Iraqi University of Sciences","","","7475 ; 07719402444 ; 07819402444","","Baghdad","Private university/college","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: not found"
"Dijlah University","","","6006 ; 07838921105 ; 07838943788 ; 07838084819 ; 07832185718 ; 07838302252","","Baghdad","Private university/college","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: not found"
"Al-Shaab University","","","07733390444 ; 6642","","Baghdad","Private university/college","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: not found"
"Ishtar Private Medical Institute","","","07866698666 ; 0770009753 ; 07775821114","","Baghdad","Private institute / technical institute","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: not found"
"Al-Sibtayn University, International Branch of Tehran University of Medical Sciences","","","07744700089 ; 07435005033","","Karbala","Private university/college","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: not found"
"Al-Qabas College","","","07702666602 ; 07502666602","","Nineveh","Private university/college","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: not found"
"Albani University College status caveat","","","2025","","All Iraq","","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: albani.edu.iq; WordPress/Instagram footprint mentioned"
