"entity","action","reason","existing_id","name","native_name","governorate","website","email","phone"
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","qti@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","projects@stu.edu.iq",""
"institution","skipped","matched website","mosul","University of Mosul","جامعة الموصل","Nineveh","uomosul.edu.iq","presidentpresident@uomosul.edu.iq","964568359375"
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","presidency@stu.edu.iq",""
"institution","skipped","matched website","academic-inst-7bab5b652959473098357c025cbad0c3","Wasit University","جامعة واسط","Wasit","uowasit.edu.iq","po@uowasit.edu.iq","964808778097"
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","planning@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","office@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","nti@stu.edu.iq",""
"institution","skipped","matched website","academic-inst-dbbc884e117444bd97e58066575f4e0a","Cihan University – Sulaymaniyah","زانكۆی جیهان – سلێمانی","Sulaymaniyah","cihanuniversity.edu.iq/sulaymaniyah","nh.admission@cihanuniversity.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","monitor@stu.edu.iq",""
"institution","skipped","duplicate within import file","","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","mofeed.rashid@uobasrah.edu.iq",""
"institution","skipped","duplicate within import file","","Tikrit University","جامعة تكريت","salahaldeen","tu.edu.iq","mgrd@tu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","media@stu.edu.iq",""
"institution","skipped","duplicate within import file","","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","mazen.abdulridha@uobasrah.edu.iq",""
"institution","skipped","duplicate within import file","","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","majid.abed@uobasrah.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","legal@stu.edu.iq",""
"institution","skipped","matched website","academic-inst-cac110f2171146d985a4e6d5a6bf1356","University of Kirkuk","جامعة كركوك","Kirkuk","uokirkuk.edu.iq","kirkuk_univ@uokirkuk.edu.iq","96425174738"
"institution","skipped","duplicate within import file","","Cihan University – Sulaymaniyah","زانكۆی جیهان – سلێمانی","Sulaymaniyah","cihanuniversity.edu.iq/sulaymaniyah","kh.admission@cihanuniversity.edu.iq",""
"institution","skipped","duplicate within import file","","Cihan University – Sulaymaniyah","زانكۆی جیهان – سلێمانی","Sulaymaniyah","cihanuniversity.edu.iq/sulaymaniyah","jawan.hussien@cihanuniversity.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","itsupport@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","it@stu.edu.iq",""
"institution","skipped","matched website","diyala","University of Diyala","جامعة ديالى","Diyala","uodiyala.edu.iq","info@uodiyala.edu.iq","964726981148"
"institution","skipped","duplicate within import file","","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","info@uobasrah.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","info@stu.edu.iq","964801095591"
"institution","skipped","matched website","academic-inst-8b156002f38c4054a4d7e447f9a5ca73","Sulaimani Polytechnic University","زانكۆی پۆلیتەكنیكی سلێمانی","Sulaymaniyah","spu.edu.iq","info@spu.edu.iq",""
"institution","skipped","matched website","qadisiyah","University of Al-Qadisiyah","جامعة القادسية","qadisiyyah","qu.edu.iq","info@qu.edu.iq","964402847341"
"institution","skipped","matched website","academic-inst-fd48343627f54c6581c6e25d593afdb3","Lebanese French University","زانكۆی فرەنسی لوبنانی","Erbil","lfu.edu.krd","info@lfu.edu.krd","964513080510"
"institution","skipped","matched website","academic-inst-7f4fd0b491344904b573a818eaa79a9e","Al-Esraa University College","كلية الإسراء الجامعة","Baghdad","esraa.edu.iq","info@esraa.edu.iq","96418866258"
"institution","skipped","matched website","academic-inst-5c010ce499ed4daa8a24734c2dc517f8","Cihan University – Erbil","زانكۆی جیهان – هەولێر","Erbil","cihanuniversity.edu.iq","info@cihanuniversity.edu.iq","964447265625"
"institution","skipped","duplicate within import file","","Cihan University – Sulaymaniyah","زانكۆی جیهان – سلێمانی","Sulaymaniyah","cihanuniversity.edu.iq/sulaymaniyah","hunar.m.hussein@cihanuniversity.edu.iq","964425375840"
"institution","skipped","duplicate within import file","","Cihan University – Sulaymaniyah","زانكۆی جیهان – سلێمانی","Sulaymaniyah","cihanuniversity.edu.iq/sulaymaniyah","hozan.reg@cihanuniversity.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","followup@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","finance@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","fgs@stu.edu.iq",""
"institution","skipped","duplicate within import file","","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","fateh.abdullateef@uobasrah.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","dormitory@stu.edu.iq",""
"institution","skipped","duplicate within import file","","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","dhia.alfekaiki@uobasrah.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","cec@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","cdc@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Sulaimani Polytechnic University","زانكۆی پۆلیتەكنیكی سلێمانی","Sulaymaniyah","spu.edu.iq","cdc@spu.edu.iq","964533351347"
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","bti@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","bmtc@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","bhtc@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","betc@stu.edu.iq",""
"institution","skipped","duplicate within import file","","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","aqeel.fadhil@uobasrah.edu.iq",""
"institution","skipped","matched website","anbar","University of Anbar","جامعة الأنبار","Anbar","uoanbar.edu.iq","anbar_university@uoanbar.edu.iq",""
"institution","skipped","duplicate within import file","","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","amal.mohemd@uobasrah.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","admn@stu.edu.iq",""
"institution","skipped","duplicate within import file","","University of Diyala","جامعة ديالى","Diyala","uodiyala.edu.iq","admin@uodiyala.edu.iq",""
"institution","skipped","matched website","academic-inst-36aed7d94fc244b59202a546696a5f99","University of Babylon","جامعة بابل","Babil","uobabylon.edu.iq","admin@uobabylon.edu.iq","964804765916"
"institution","skipped","matched English name + governorate","academic-inst-abb09c7e325445f38706e55585083a48","University of Human Development","زانكۆی گەشەسەندنی مرۆڤایەتی","Sulaymaniyah","uhd.edu.iq","abc@uhd.edu.iq","964812613473"
"institution","skipped","matched website","academic-inst-b3c05452775b43be89208907781dedd7","Baghdad College of Economic Sciences","كلية بغداد للعلوم الاقتصادية الجامعة","Baghdad","baghdadcollege.edu.iq","590822318_1273862964785222_6943898034113282488_n-500x383@2x.jpg","964822000443"
"institution","skipped","duplicate within import file","","Baghdad College of Economic Sciences","كلية بغداد للعلوم الاقتصادية الجامعة","Baghdad","baghdadcollege.edu.iq","586835609_1272700751568110_1773714221174347053_n-500x383@2x.jpg",""
"institution","skipped","duplicate within import file","","Baghdad College of Economic Sciences","كلية بغداد للعلوم الاقتصادية الجامعة","Baghdad","baghdadcollege.edu.iq","585407836_1267637288741123_4013697999358760367_n-500x383@2x.jpg",""
"institution","skipped","duplicate within import file","","Baghdad College of Economic Sciences","كلية بغداد للعلوم الاقتصادية الجامعة","Baghdad","baghdadcollege.edu.iq","577926409_1248452677316587_4130677121717634768_n-500x383@2x.jpg",""
"institution","skipped","matched website","academic-inst-d911babfe7a248928b566e3c7c737c52","Karbala University College","كلية كربلاء الجامعة","Karbala","karbalauni.edu.iq","",""
"institution","skipped","matched website","academic-inst-fa786d24460c433c913dc552dab7a5c6","Technical Institute of Ramadi","المعهد التقني / الرمادي","Anbar","ntu.edu.iq/ramadi","",""
"institution","skipped","matched website","academic-inst-61142638199546a69595d2d671333edb","University of Al-Muthanna","جامعة المثنى","Muthanna","uom.edu.iq","","964867179504"
"institution","skipped","matched website","academic-inst-0353eea1b1294f5190c91490f0ce3b8c","Technical Institute of Nasiriyah","المعهد التقني / الناصرية","Dhi Qar","stu.edu.iq/nasiriyah","",""
"institution","skipped","matched website","academic-inst-8e15d79d888b46c6be7ce524af1b86bc","University of Misan","جامعة ميسان","Maysan","uomisan.edu.iq","",""
"institution","skipped","matched website","academic-inst-6c7f44aff48340fc83a005429209ed2c","University of Karbala","جامعة كربلاء","Karbala","uokerbala.edu.iq","",""
"institution","skipped","matched website","academic-inst-982fcfe14af446c19169474dfedd887d","Technical Institute of Tikrit","المعهد التقني / تكريت","salahaldeen","ntu.edu.iq/tikrit","",""
"institution","skipped","matched website","academic-inst-7bc7fa56c6c94212934a3eaaa7110dce","SABIS International School University","زانكۆی ساپیس","Sulaymaniyah","sabis.net","",""
"institution","skipped","matched website","academic-inst-246049d603ee47a1983e7748272bba0f","Sulaimani Language Institute","ئینستیتیوتی زمانی سلێمانی","Sulaymaniyah","sli.edu.iq","",""
"institution","skipped","matched website","academic-inst-22437e823c1f4c54940dd1adb3f2f7ad","Technical Institute of Hillah","المعهد التقني / الحلة","Babil","fatu.edu.iq/hillah","",""
"institution","skipped","matched website","academic-inst-0550e58f5363498b9bc9fbf03e2fb300","University of Duhok","زانكۆی دهۆك","Duhok","uod.ac","",""
"institution","skipped","matched website","academic-inst-b01cf2382623455ca5a259de9387e674","Technical Institute of Diyala","المعهد التقني / ديالى","Diyala","ntu.edu.iq/diyala","",""
"institution","skipped","matched website","academic-inst-7f54ca55441e479c8b0140f493492401","Nawroz University – Duhok","زانكۆی نەورۆز – دهۆك","Duhok","nawroz.edu.krd","",""
"institution","skipped","matched website","academic-inst-fcbcaa058a91430a9b7349a30efb3753","Catholic University – Duhok","جامعة كاتوليكية – دهوك","Duhok","cueb.edu.iq/duhok","",""
"institution","skipped","matched website","academic-inst-36c12c8e415a480c849a0d33193be1b9","Technical Institute of Duhok","المعهد التقني / دهوك","Duhok","uod.ac/institutes","",""
"institution","skipped","matched website","academic-inst-b409dd06f81342c29233dc96429db2c6","Technical Institute of Kirkuk","المعهد التقني / كركوك","Kirkuk","ntu.edu.iq/kirkuk","",""
"institution","skipped","matched English name + governorate","kufa","University of Kufa","جامعة الكوفة","Najaf","uokufa.edu.iq","","964819377794"
"institution","skipped","duplicate within import file","","University of Kerbala","جامعة كربلاء","Najaf","uokerbala.edu.iq","",""
"institution","skipped","matched website","academic-inst-51ef74b1022b4b779bf731fc346e08ec","Al-Furat Al-Awsat Technical University – Najaf","الجامعة التقنية الفرات الأوسط – النجف","Najaf","fatu.edu.iq","",""
"institution","skipped","matched website","uobaghdad","University of Baghdad","جامعة بغداد","Baghdad","uobaghdad.edu.iq","","96410000000"
"institution","skipped","matched website","academic-inst-009f7e39fdaa4a099aebdab8e4623663","University of Sulaimani","زانكۆی سلێمانی","Sulaymaniyah","univsul.edu.iq","","964999999999"
"institution","skipped","matched website","academic-inst-80f555cf00da48a3a17fa7bc43c52900","Al-Mustansiriyah University","الجامعة المستنصرية","Baghdad","uomustansiriyah.edu.iq","",""
"institution","skipped","matched website","technology","University of Technology – Iraq","الجامعة التكنولوجية","Baghdad","uotechnology.edu.iq","","96472127449"
"institution","skipped","matched website","nahrain","Al-Nahrain University","جامعة النهرين","Baghdad","nahrainuniv.edu.iq","","96440014653"
"institution","skipped","matched website","academic-inst-c2dd9656662a4a7e8b310de9d055a5e0","University of Information Technology and Communications","جامعة تكنولوجيا المعلومات والاتصالات","Baghdad","uoitc.edu.iq","",""
"institution","skipped","matched website","academic-inst-d400c025843f472c877fc639e8d72ad2","Al-Mansour University College","كلية المنصور الجامعة","Baghdad","muc.edu.iq","","964852100100"
"institution","skipped","matched website","academic-inst-f8c93c1ac90843808dd9a162141ab4c0","Al-Turath University College","كلية التراث الجامعة","Baghdad","alturath.edu.iq","",""
"institution","skipped","matched website","academic-inst-5a4ef0b2661c4810b7896007149b0e05","Al-Farahidi University","جامعة الفراهيدي","Baghdad","uoalfarahidi.edu.iq","","964550309477"
"institution","skipped","matched website","academic-inst-ae89fb3caddb43cd8be696c11475220b","Al-Zahrawi University College","كلية الزهراوي الجامعة","Baghdad","alzahrawi.edu.iq","",""
"institution","skipped","matched website","academic-inst-42b3ab90e3524e838ae7e60080ec6a3f","Al-Salam University College","كلية السلام الجامعة","Baghdad","alsalam.edu.iq","",""
"institution","skipped","matched website","academic-inst-0d14afca66bd447c99b5e32f5fa7c2b4","Dijlah University College","كلية دجلة الجامعة","Baghdad","duc.edu.iq","",""
"institution","skipped","matched native name + governorate","academic-inst-29c672479f84409ea27e381a5c9592a9","Al-Rafidain University College","كلية الرافدين الجامعة","Baghdad","rcbaghdad.edu.iq","",""
"institution","skipped","matched English name + governorate","academic-inst-0c8afecf81224f43b0ca3da36b4183bf","Al-Yarmouk University College","كلية اليرموك الجامعة","Baghdad","yuc.edu.iq","",""
"institution","skipped","matched English name + governorate","academic-inst-51b4f82f9bbc43bda52c7cf49ae69277","Uruk University","جامعة أوروك","Baghdad","uruk-uni.edu.iq","",""
"institution","skipped","matched website","academic-inst-a9fa92710e12456bb4df381ba9989557","Technical Institute of Baghdad","المعهد التقني / بغداد","Baghdad","atd.edu.iq","",""
"institution","skipped","matched website","academic-inst-248544fa87c2413c80bf7d5c242973c4","ILCS Baghdad","معهد اللغات والترجمة – بغداد","Baghdad","baghdadlanguage.edu.iq","",""
"institution","skipped","matched English name + governorate","academic-inst-e0689f733d024626b81cc28f6f83e8e4","Basrah University for Oil and Gas","جامعة البصرة للنفط والغاز","Basra","uobog.edu.iq","",""
"institution","skipped","matched English name + governorate","academic-inst-40d8dbc2cffd4d618eaeafea2190d5fa","Shatt Al-Arab University College","كلية شط العرب الجامعة","Basra","sau.edu.iq","",""
"institution","skipped","matched website","academic-inst-952c567e17964b7ca93fb2ad8a2fce24","Erbil Language Institute","ئینستیتیوتی زمان هەولێر","Erbil","eli.edu.krd","",""
"institution","skipped","matched English name + governorate","academic-inst-c91e7fe27b1d4ebda706c1b32d28cff2","Catholic University in Erbil","جامعة كاتوليكية في أربيل","Erbil","cueb.edu.iq","",""
"institution","skipped","matched website","academic-inst-e521ebc16dc3408697a1a1b0b9108a20","Tishk International University","زانكۆی تیشك","Erbil","tishkuni.com","",""
"institution","skipped","matched website","academic-inst-ae7e09912f024c848829a3a48311bdf0","Komar University of Science and Technology","زانكۆی كۆمار","Erbil","komar.edu.iq","",""
"institution","skipped","duplicate within import file","","Nawroz University","زانكۆی نەورۆز","Erbil","nawroz.edu.krd","",""
"institution","skipped","matched English name + governorate","academic-inst-11ce464e8b234301b33083b81fb5fa5b","Knowledge University","زانكۆی زانیاری","Erbil","knowledge.edu.krd","",""
"institution","skipped","matched website","koya","Koya University","زانكۆی كۆیە","Sulaymaniyah","koyauniversity.org","",""
"institution","skipped","matched website","academic-inst-b994f352d8c74bb29b2911ae6eea8013","Ishik University","زانكوی ئیشیک","Erbil","ishik.edu.iq","",""
"institution","skipped","matched website","academic-inst-d9841378d8de49659e70ffd1235e846b","Technical Institute of Mosul","المعهد التقني / الموصل","Nineveh","ntu.edu.iq/mosul","",""
"institution","skipped","matched website","academic-inst-db89b7969d5740509dfef5f652291276","Al-Kitab University","جامعة الكتاب","Nineveh","uoalkitab.edu.iq","",""
"institution","skipped","matched English name + governorate","ninevah","Ninevah University","جامعة نينوى","Nineveh","ninevahuniversity.edu.iq","",""
"institution","skipped","matched website","northern_technical","Northern Technical University","الجامعة التقنية الشمالية","Nineveh","ntu.edu.iq","","964748105550"
"institution","skipped","matched website","academic-inst-94e05235f28545fd981e67656986c743","Technical Institute of Basrah","المعهد التقني / البصرة","Basra","stu.edu.iq/basrah","",""
"institution","skipped","matched website","academic-inst-dbd1175c85574bd4aadb1074ec641dc7","Al-Furat Al-Awsat University College","كلية الفرات الأوسط الجامعة","Basra","fau.edu.iq","",""
"institution","skipped","matched website","salahaddin","Salahaddin University – Erbil","جامعة صلاح الدين – أربيل","Erbil","su.edu.krd","",""
"institution","skipped","matched website","academic-inst-59a3e9f682524c92bcfd9ca154b1f8c3","Halabja University","زانكۆی هەڵەبجە","Halabja","uoh.edu.iq","",""
"contact","skipped","matched email","academic-contact-f93a0fab10734465a8672de947d517e2","Southern Technical University","","Basra","","website@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-ba9ecd27ef9646b994dc5f187bcde6b1","HKU – Hawler Medical University","","Erbil","","webmaster@hmu.edu.krd","964428571429"
"contact","skipped","matched email","academic-contact-a5d2932320e9418bbed98b93747b1244","Southern Technical University","","Basra","","vice.sc@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-f590b1c5ddc9405eb587420cfa9d7bf6","Southern Technical University","","Basra","","vice.admn@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-0302cc60c46b4b479252d203891561df","Southern Technical University","","Basra","","uti@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-fbf512cc70154d0ebe35c186758fc582","University of Basrah","","Basra","","usama.khaleefa@uobasrah.edu.iq",""
"contact","skipped","matched email","academic-contact-b4c97dee61a7457aa4d219563caea04c","University of Thi-Qar","","Dhi Qar","","university.of.thiqar@utq.edu.iq","964970179083"
"contact","skipped","matched email","academic-contact-8a221c5c276f4413bf92a63a0f5bedb6","Southern Technical University","","Basra","","ttc@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-969de599086940db944b5b2b0171ad56","Tikrit University","","salahaldeen","","tikrit.uni@tu.edu.iq","964544207735"
"contact","skipped","matched email","academic-contact-23799ab9b491408290877191a26d5655","Southern Technical University","","Basra","","sti@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-6ebb47b2ab404be1a00ad3061a346f48","Southern Technical University","","Basra","","secretary@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-ce7a6900955b42efa2d5589f5a1f7741","Southern Technical University","","Basra","","sc@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-74c6863841e447fbae11bba383f345c6","Iraqi University","","Baghdad","","saf@ses.aliraqia.edu.iq","964780699351"
"contact","skipped","matched email","academic-contact-8e716481ae2345e98172cb2e11300093","University of Basrah","","Basra","","reshak@uobasrah.edu.iq",""
"contact","skipped","matched email","academic-contact-9e6000b6cfc64e2c820f56deeba177a8","Southern Technical University","","Basra","","relations@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-7908388518cf49598729ea55f1f575c7","University of Basrah","","Basra","","raghdan.mohsin@uobasrah.edu.iq",""
"contact","skipped","matched email","academic-contact-dc3cb15835f24cef8491e7e60e56f70f","Southern Technical University","","Basra","","quality@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-4dc6c8f3776f449db95aa42ceeb8b1ab","Southern Technical University","","Basra","","qti@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-390efc06df884da38b16b03c90927273","Southern Technical University","","Basra","","projects@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-fb557331a7624affa2e4575649053da7","University of Mosul","","Nineveh","","presidentpresident@uomosul.edu.iq","964568359375"
"contact","skipped","matched email","academic-contact-0994254c5abb406290bee7e28091029a","Southern Technical University","","Basra","","presidency@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-1ec5b8cab9364626b1ae90fa095f32ba","Wasit University","","Wasit","","po@uowasit.edu.iq","964808778097"
"contact","skipped","matched email","academic-contact-f7ebe0b1ca15405b845aa16536ca9a55","Southern Technical University","","Basra","","planning@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-53a490cfcad3478a90ce88c4ec49ae36","Southern Technical University","","Basra","","office@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-3d954eabe8f641ad88b8c95f6e72a9fd","Southern Technical University","","Basra","","nti@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-52e2eaa7eddc4560ac6c5b23fd060be4","Cihan University – Sulaymaniyah","","Sulaymaniyah","","nh.admission@cihanuniversity.edu.iq",""
"contact","skipped","matched email","academic-contact-d9b46f844e3f4c4e91254383866d9112","Southern Technical University","","Basra","","monitor@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-2e13b211b62445eea4a8667f9d68b082","University of Basrah","","Basra","","mofeed.rashid@uobasrah.edu.iq",""
"contact","skipped","matched email","academic-contact-56a8a1b46c7645b9b7f8d29b1b9ecccd","Tikrit University","","salahaldeen","","mgrd@tu.edu.iq",""
"contact","skipped","matched email","academic-contact-a6febe8a5f4f402683630592b67fcce0","Southern Technical University","","Basra","","media@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-b7779dc5b61d40bfaf537373a8b5efed","University of Basrah","","Basra","","mazen.abdulridha@uobasrah.edu.iq",""
"contact","skipped","matched email","academic-contact-b2100fbe6b1e409d838b408ad313c6a7","University of Basrah","","Basra","","majid.abed@uobasrah.edu.iq",""
"contact","skipped","matched email","academic-contact-2c26499f53ba4e3480ae81abeb01901a","Southern Technical University","","Basra","","legal@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-35cca3316d684e67b6c3ce7a3ac6953c","University of Kirkuk","","Kirkuk","","kirkuk_univ@uokirkuk.edu.iq","96425174738"
"contact","skipped","matched email","academic-contact-67fd7b3bc32e40489c0d6c568eb4bbd2","Cihan University – Sulaymaniyah","","Sulaymaniyah","","kh.admission@cihanuniversity.edu.iq",""
"contact","skipped","matched email","academic-contact-2439408665d5490f8c2abad578dc2c07","Cihan University – Sulaymaniyah","","Sulaymaniyah","","jawan.hussien@cihanuniversity.edu.iq",""
"contact","skipped","matched email","academic-contact-2a5951678dbb460cac543f2422452894","Southern Technical University","","Basra","","itsupport@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-7e302645e5f54b33aae2d9ffc76b2235","Southern Technical University","","Basra","","it@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-281b5daaf2d8418da67c2b3f6c7445d0","University of Diyala","","Diyala","","info@uodiyala.edu.iq","964726981148"
"contact","skipped","matched email","academic-contact-f07a27ed2a2145f293331e695900d832","University of Basrah","","Basra","","info@uobasrah.edu.iq",""
"contact","skipped","matched email","academic-contact-134ba3567bc84401bbdb32c4ff095e2b","Southern Technical University","","Basra","","info@stu.edu.iq","964801095591"
"contact","skipped","matched email","academic-contact-bb9213ead2974d5ea0807234a29d00aa","Sulaimani Polytechnic University","","Sulaymaniyah","","info@spu.edu.iq",""
"contact","skipped","matched email","academic-contact-df147710b998478a8c324421fb2f3a27","University of Al-Qadisiyah","","qadisiyyah","","info@qu.edu.iq","964402847341"
"contact","skipped","matched email","academic-contact-5682c206ecfc47e3b07bfdb5398409cf","Lebanese French University","","Erbil","","info@lfu.edu.krd","964513080510"
"contact","skipped","matched email","academic-contact-c174a2112a0843b588f5138599a40d61","Al-Esraa University College","","Baghdad","","info@esraa.edu.iq","96418866258"
"contact","skipped","matched email","academic-contact-e15c68d61e274a7e9c0c62dd20f944c3","Cihan University – Erbil","","Erbil","","info@cihanuniversity.edu.iq","964447265625"
"contact","skipped","matched email","academic-contact-b2e46f23fc044236b31abb28282ffdb1","Cihan University – Sulaymaniyah","","Sulaymaniyah","","hunar.m.hussein@cihanuniversity.edu.iq","964425375840"
"contact","skipped","matched email","academic-contact-cd7424a2e61042869689243b92b35b89","Cihan University – Sulaymaniyah","","Sulaymaniyah","","hozan.reg@cihanuniversity.edu.iq",""
"contact","skipped","matched email","academic-contact-fdaf881df84f43b7a370ba1f119f085d","Southern Technical University","","Basra","","followup@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-255065def31146e08ced7e2444dbf5b7","Southern Technical University","","Basra","","finance@stu.edu.iq",""
"contact","skipped","matched email","academic-contact-6584418e5809451091e4d160022a00a6","Southern Technical University","","Basra","","fgs@stu.edu.iq",""
