"entity","action","reason","existing_id","name","native_name","governorate","website","email","phone"
"institution","skipped","duplicate within import file","","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","reshak@uobasrah.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","relations@stu.edu.iq",""
"institution","skipped","duplicate within import file","","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","raghdan.mohsin@uobasrah.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","quality@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","qti@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","projects@stu.edu.iq",""
"institution","skipped","matched website","mosul","University of Mosul","جامعة الموصل","Nineveh","uomosul.edu.iq","presidentpresident@uomosul.edu.iq","964568359375"
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","presidency@stu.edu.iq",""
"institution","skipped","matched website","academic-inst-7bab5b652959473098357c025cbad0c3","Wasit University","جامعة واسط","Wasit","uowasit.edu.iq","po@uowasit.edu.iq","964808778097"
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","planning@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","office@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","nti@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","monitor@stu.edu.iq",""
"institution","skipped","duplicate within import file","","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","mofeed.rashid@uobasrah.edu.iq",""
"institution","skipped","duplicate within import file","","Tikrit University","جامعة تكريت","salahaldeen","tu.edu.iq","mgrd@tu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","media@stu.edu.iq",""
"institution","skipped","duplicate within import file","","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","mazen.abdulridha@uobasrah.edu.iq",""
"institution","skipped","duplicate within import file","","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","majid.abed@uobasrah.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","legal@stu.edu.iq",""
"institution","skipped","matched website","academic-inst-cac110f2171146d985a4e6d5a6bf1356","University of Kirkuk","جامعة كركوك","Kirkuk","uokirkuk.edu.iq","kirkuk_univ@uokirkuk.edu.iq","96425174738"
"institution","skipped","duplicate within import file","","Cihan University – Sulaymaniyah","زانكۆی جیهان – سلێمانی","Sulaymaniyah","cihanuniversity.edu.iq/sulaymaniyah","kh.admission@cihanuniversity.edu.iq",""
"institution","skipped","duplicate within import file","","Cihan University – Sulaymaniyah","زانكۆی جیهان – سلێمانی","Sulaymaniyah","cihanuniversity.edu.iq/sulaymaniyah","jawan.hussien@cihanuniversity.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","itsupport@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","it@stu.edu.iq",""
"institution","skipped","matched website","diyala","University of Diyala","جامعة ديالى","Diyala","uodiyala.edu.iq","info@uodiyala.edu.iq","964726981148"
"institution","skipped","duplicate within import file","","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","info@uobasrah.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","info@stu.edu.iq","964801095591"
"institution","update_missing","matched website","academic-inst-8b156002f38c4054a4d7e447f9a5ca73","Sulaimani Polytechnic University","زانكۆی پۆلیتەكنیكی سلێمانی","Sulaymaniyah","spu.edu.iq","info@spu.edu.iq",""
"institution","update_missing","matched website","qadisiyah","University of Al-Qadisiyah","جامعة القادسية","qadisiyyah","qu.edu.iq","info@qu.edu.iq","964402847341"
"institution","skipped","matched website","academic-inst-fd48343627f54c6581c6e25d593afdb3","Lebanese French University","زانكۆی فرەنسی لوبنانی","Erbil","lfu.edu.krd","info@lfu.edu.krd","964513080510"
"institution","skipped","matched website","academic-inst-7f4fd0b491344904b573a818eaa79a9e","Al-Esraa University College","كلية الإسراء الجامعة","Baghdad","esraa.edu.iq","info@esraa.edu.iq","96418866258"
"institution","skipped","matched website","academic-inst-5c010ce499ed4daa8a24734c2dc517f8","Cihan University – Erbil","زانكۆی جیهان – هەولێر","Erbil","cihanuniversity.edu.iq","info@cihanuniversity.edu.iq","964447265625"
"institution","skipped","duplicate within import file","","Cihan University – Sulaymaniyah","زانكۆی جیهان – سلێمانی","Sulaymaniyah","cihanuniversity.edu.iq/sulaymaniyah","hunar.m.hussein@cihanuniversity.edu.iq","964425375840"
"institution","skipped","duplicate within import file","","Cihan University – Sulaymaniyah","زانكۆی جیهان – سلێمانی","Sulaymaniyah","cihanuniversity.edu.iq/sulaymaniyah","hozan.reg@cihanuniversity.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","followup@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","finance@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","fgs@stu.edu.iq",""
"institution","skipped","duplicate within import file","","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","fateh.abdullateef@uobasrah.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","dormitory@stu.edu.iq",""
"institution","skipped","duplicate within import file","","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","dhia.alfekaiki@uobasrah.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","cec@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","cdc@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Sulaimani Polytechnic University","زانكۆی پۆلیتەكنیكی سلێمانی","Sulaymaniyah","spu.edu.iq","cdc@spu.edu.iq","964533351347"
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","bti@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","bmtc@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","bhtc@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","betc@stu.edu.iq",""
"institution","skipped","duplicate within import file","","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","aqeel.fadhil@uobasrah.edu.iq",""
"institution","skipped","matched website","anbar","University of Anbar","جامعة الأنبار","Anbar","uoanbar.edu.iq","anbar_university@uoanbar.edu.iq",""
"institution","skipped","duplicate within import file","","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","amal.mohemd@uobasrah.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","admn@stu.edu.iq",""
"institution","skipped","duplicate within import file","","University of Diyala","جامعة ديالى","Diyala","uodiyala.edu.iq","admin@uodiyala.edu.iq",""
"institution","skipped","matched website","academic-inst-36aed7d94fc244b59202a546696a5f99","University of Babylon","جامعة بابل","Babil","uobabylon.edu.iq","admin@uobabylon.edu.iq","964804765916"
"institution","skipped","matched English name + governorate","academic-inst-abb09c7e325445f38706e55585083a48","University of Human Development","زانكۆی گەشەسەندنی مرۆڤایەتی","Sulaymaniyah","uhd.edu.iq","abc@uhd.edu.iq","964812613473"
"institution","skipped","matched website","academic-inst-b3c05452775b43be89208907781dedd7","Baghdad College of Economic Sciences","كلية بغداد للعلوم الاقتصادية الجامعة","Baghdad","baghdadcollege.edu.iq","590822318_1273862964785222_6943898034113282488_n-500x383@2x.jpg","964822000443"
"institution","skipped","duplicate within import file","","Baghdad College of Economic Sciences","كلية بغداد للعلوم الاقتصادية الجامعة","Baghdad","baghdadcollege.edu.iq","586835609_1272700751568110_1773714221174347053_n-500x383@2x.jpg",""
"institution","skipped","duplicate within import file","","Baghdad College of Economic Sciences","كلية بغداد للعلوم الاقتصادية الجامعة","Baghdad","baghdadcollege.edu.iq","585407836_1267637288741123_4013697999358760367_n-500x383@2x.jpg",""
"institution","skipped","duplicate within import file","","Baghdad College of Economic Sciences","كلية بغداد للعلوم الاقتصادية الجامعة","Baghdad","baghdadcollege.edu.iq","577926409_1248452677316587_4130677121717634768_n-500x383@2x.jpg",""
"institution","skipped","matched website","academic-inst-61142638199546a69595d2d671333edb","University of Al-Muthanna","جامعة المثنى","Muthanna","uom.edu.iq","","964867179504"
"institution","skipped","matched website","academic-inst-8e15d79d888b46c6be7ce524af1b86bc","University of Misan","جامعة ميسان","Maysan","uomisan.edu.iq","",""
"institution","skipped","matched website","academic-inst-6c7f44aff48340fc83a005429209ed2c","University of Karbala","جامعة كربلاء","Karbala","uokerbala.edu.iq","",""
"institution","skipped","matched website","academic-inst-0550e58f5363498b9bc9fbf03e2fb300","University of Duhok","زانكۆی دهۆك","Duhok","uod.ac","",""
"institution","skipped","matched English name + governorate","kufa","University of Kufa","جامعة الكوفة","Najaf","uokufa.edu.iq","","964819377794"
"institution","skipped","duplicate within import file","","University of Kerbala","جامعة كربلاء","Najaf","uokerbala.edu.iq","",""
"institution","skipped","matched website","uobaghdad","University of Baghdad","جامعة بغداد","Baghdad","uobaghdad.edu.iq","","96410000000"
"institution","skipped","matched website","academic-inst-009f7e39fdaa4a099aebdab8e4623663","University of Sulaimani","زانكۆی سلێمانی","Sulaymaniyah","univsul.edu.iq","","964999999999"
"institution","skipped","matched website","academic-inst-80f555cf00da48a3a17fa7bc43c52900","Al-Mustansiriyah University","الجامعة المستنصرية","Baghdad","uomustansiriyah.edu.iq","",""
"institution","skipped","matched website","technology","University of Technology – Iraq","الجامعة التكنولوجية","Baghdad","uotechnology.edu.iq","","96472127449"
"institution","skipped","matched website","nahrain","Al-Nahrain University","جامعة النهرين","Baghdad","nahrainuniv.edu.iq","","96440014653"
"institution","skipped","matched website","academic-inst-c2dd9656662a4a7e8b310de9d055a5e0","University of Information Technology and Communications","جامعة تكنولوجيا المعلومات والاتصالات","Baghdad","uoitc.edu.iq","",""
"institution","skipped","matched website","academic-inst-d400c025843f472c877fc639e8d72ad2","Al-Mansour University College","كلية المنصور الجامعة","Baghdad","muc.edu.iq","","964852100100"
"institution","skipped","matched website","academic-inst-5a4ef0b2661c4810b7896007149b0e05","Al-Farahidi University","جامعة الفراهيدي","Baghdad","uoalfarahidi.edu.iq","","964550309477"
"institution","skipped","matched website","academic-inst-42b3ab90e3524e838ae7e60080ec6a3f","Al-Salam University College","كلية السلام الجامعة","Baghdad","alsalam.edu.iq","",""
"institution","skipped","matched website","academic-inst-0d14afca66bd447c99b5e32f5fa7c2b4","Dijlah University College","كلية دجلة الجامعة","Baghdad","duc.edu.iq","",""
"institution","skipped","matched native name + governorate","academic-inst-29c672479f84409ea27e381a5c9592a9","Al-Rafidain University College","كلية الرافدين الجامعة","Baghdad","rcbaghdad.edu.iq","",""
"institution","skipped","matched English name + governorate","academic-inst-0c8afecf81224f43b0ca3da36b4183bf","Al-Yarmouk University College","كلية اليرموك الجامعة","Baghdad","yuc.edu.iq","",""
"institution","skipped","matched English name + governorate","academic-inst-51b4f82f9bbc43bda52c7cf49ae69277","Uruk University","جامعة أوروك","Baghdad","uruk-uni.edu.iq","",""
"institution","skipped","matched English name + governorate","academic-inst-e0689f733d024626b81cc28f6f83e8e4","Basrah University for Oil and Gas","جامعة البصرة للنفط والغاز","Basra","uobog.edu.iq","",""
"institution","skipped","matched English name + governorate","academic-inst-40d8dbc2cffd4d618eaeafea2190d5fa","Shatt Al-Arab University College","كلية شط العرب الجامعة","Basra","sau.edu.iq","",""
"institution","skipped","matched English name + governorate","academic-inst-c91e7fe27b1d4ebda706c1b32d28cff2","Catholic University in Erbil","جامعة كاتوليكية في أربيل","Erbil","cueb.edu.iq","",""
"institution","skipped","matched website","academic-inst-ae7e09912f024c848829a3a48311bdf0","Komar University of Science and Technology","زانكۆی كۆمار","Erbil","komar.edu.iq","",""
"institution","skipped","duplicate within import file","","Nawroz University","زانكۆی نەورۆز","Erbil","nawroz.edu.krd","",""
"institution","skipped","matched English name + governorate","academic-inst-11ce464e8b234301b33083b81fb5fa5b","Knowledge University","زانكۆی زانیاری","Erbil","knowledge.edu.krd","",""
"institution","skipped","matched website","koya","Koya University","زانكۆی كۆیە","Sulaymaniyah","koyauniversity.org","",""
"institution","skipped","matched website","academic-inst-db89b7969d5740509dfef5f652291276","Al-Kitab University","جامعة الكتاب","Nineveh","uoalkitab.edu.iq","",""
"institution","skipped","matched English name + governorate","ninevah","Ninevah University","جامعة نينوى","Nineveh","ninevahuniversity.edu.iq","",""
"institution","skipped","matched website","northern_technical","Northern Technical University","الجامعة التقنية الشمالية","Nineveh","ntu.edu.iq","","964748105550"
"institution","skipped","matched website","salahaddin","Salahaddin University – Erbil","جامعة صلاح الدين – أربيل","Erbil","su.edu.krd","",""
"institution","skipped","matched website","academic-inst-59a3e9f682524c92bcfd9ca154b1f8c3","Halabja University","زانكۆی هەڵەبجە","Halabja","uoh.edu.iq","",""
"contact","skipped","no email or phone","","Karbala University College","","Karbala","","",""
"contact","skipped","no email or phone","","Technical Institute of Ramadi","","Anbar","","",""
"contact","skipped","no email or phone","","Technical Institute of Nasiriyah","","Dhi Qar","","",""
"contact","skipped","no email or phone","","University of Misan","","Maysan","","",""
"contact","skipped","no email or phone","","University of Karbala","","Karbala","","",""
"contact","skipped","no email or phone","","Technical Institute of Tikrit","","salahaldeen","","",""
"contact","skipped","no email or phone","","SABIS International School University","","Sulaymaniyah","","",""
"contact","skipped","no email or phone","","Sulaimani Language Institute","","Sulaymaniyah","","",""
"contact","skipped","no email or phone","","Technical Institute of Hillah","","Babil","","",""
"contact","skipped","no email or phone","","University of Duhok","","Duhok","","",""
"contact","skipped","no email or phone","","Technical Institute of Diyala","","Diyala","","",""
"contact","skipped","no email or phone","","Nawroz University – Duhok","","Duhok","","",""
"contact","skipped","no email or phone","","Catholic University – Duhok","","Duhok","","",""
"contact","skipped","no email or phone","","Technical Institute of Duhok","","Duhok","","",""
"contact","skipped","no email or phone","","Technical Institute of Kirkuk","","Kirkuk","","",""
"contact","skipped","no email or phone","","University of Kerbala","","Najaf","","",""
"contact","skipped","no email or phone","","Al-Furat Al-Awsat Technical University – Najaf","","Najaf","","",""
"contact","skipped","no email or phone","","Al-Mustansiriyah University","","Baghdad","","",""
"contact","skipped","no email or phone","","University of Information Technology and Communications","","Baghdad","","",""
"contact","skipped","no email or phone","","Al-Turath University College","","Baghdad","","",""
"contact","skipped","no email or phone","","Al-Zahrawi University College","","Baghdad","","",""
"contact","skipped","no email or phone","","Al-Salam University College","","Baghdad","","",""
"contact","skipped","no email or phone","","Dijlah University College","","Baghdad","","",""
"contact","skipped","no email or phone","","Al-Rafidain University College","","Baghdad","","",""
"contact","skipped","no email or phone","","Al-Yarmouk University College","","Baghdad","","",""
"contact","skipped","no email or phone","","Uruk University","","Baghdad","","",""
"contact","skipped","no email or phone","","Technical Institute of Baghdad","","Baghdad","","",""
"contact","skipped","no email or phone","","ILCS Baghdad","","Baghdad","","",""
"contact","skipped","no email or phone","","Basrah University for Oil and Gas","","Basra","","",""
"contact","skipped","no email or phone","","Shatt Al-Arab University College","","Basra","","",""
"contact","skipped","no email or phone","","Erbil Language Institute","","Erbil","","",""
"contact","skipped","no email or phone","","Catholic University in Erbil","","Erbil","","",""
"contact","skipped","no email or phone","","Tishk International University","","Erbil","","",""
"contact","skipped","no email or phone","","Komar University of Science and Technology","","Erbil","","",""
"contact","skipped","no email or phone","","Nawroz University","","Erbil","","",""
"contact","skipped","no email or phone","","Knowledge University","","Erbil","","",""
"contact","skipped","no email or phone","","Koya University","","Sulaymaniyah","","",""
"contact","skipped","no email or phone","","Ishik University","","Erbil","","",""
"contact","skipped","no email or phone","","Technical Institute of Mosul","","Nineveh","","",""
"contact","skipped","no email or phone","","Al-Kitab University","","Nineveh","","",""
"contact","skipped","no email or phone","","Ninevah University","","Nineveh","","",""
"contact","skipped","no email or phone","","Technical Institute of Basrah","","Basra","","",""
"contact","skipped","no email or phone","","Al-Furat Al-Awsat University College","","Basra","","",""
"contact","skipped","no email or phone","","Salahaddin University – Erbil","","Erbil","","",""
"contact","skipped","no email or phone","","Halabja University","","Halabja","","",""
