"name_en","name_ar_ku","institution_type","governorate","city","website","phone","email","address","latitude","longitude","status","verification_label","notes"
"Al Mansour University College","كلية المنصور الجامعة","private university","Baghdad","","https://www.muc.edu.iq","07814238373 ; 07752100100 ; 07852100100","","Baghdad","33.315","44.42833333","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q4704378"
"Baghdad Pharmacy College","كلية بغداد للعلوم الطبية","university","Baghdad","","http://www.bpc.edu.iq/pharmacy/index.php?lang=en","07806020473 ; 07906321215","","Baghdad","33.3497143","44.382707","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q1448977"
"Al-Hikma University","جامعة الحكمة","university","Baghdad","","http://alhikma-iq.com","","","Baghdad","","","needs_review","official-guide only","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q4702513"
"University of Baghdad","جامعة بغداد","public university","Baghdad","","http://www.uobaghdad.edu.iq","07827203218","","Baghdad","33.27011111","44.38171944","official-ish","dual-source verified","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q550376"
"Al Rasheed University College","كلية الرشيد الجامعة","private university","Baghdad","","http://www.alrasheed-uc.net","","","Baghdad","33.28472222","44.30944444","needs_review","official-guide only","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q4704691"
"University of Technology, Iraq","الجامعة التكنولوجية","public university","Baghdad","","http://www.uotechnology.edu.iq","","","Baghdad","33.31132","44.4475","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q4120423"
"Iraqi University","الجامعة العراقية","public university","Baghdad","","http://www.iubaghdad.edu.iq","","","Baghdad","33.40111111","44.35833333","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q6068104"
"Sheikh Mohammed Al Kasinzan University College","كلية السلام الجامعة","private university","Baghdad","","https://alsalam.edu.iq","6688 ; 07801117262 ; 07815104556","","Baghdad","33.2287083","44.36965942","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q7492948"
"كلية الباني الجامعة","كلية الباني الجامعة","private university","Baghdad","","albani.edu.iq surfaced in guide indexing; socials exist on WordPress/Instagram footprint","07718777717 ; 07866900663","","Baghdad","33.3009052","44.3385281","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q16123213"
"College of Imam Al-Adham Abu Hanifa A -Nu'man","كلية الإمام الأعظم الجامعة","school","Baghdad","","http://www.imamaladham.edu.iq","","","Baghdad","33.37227706","44.35744598","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q12235873"
"Middle Technical University","الجامعة التقنية الوسطى","educational institution","Baghdad","","https://www.mtu.edu.iq","","","Baghdad","33.3195317","44.3654852","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q23048583"
"al-Farahidi University","جامعة الفراهيدي","academic institution","Baghdad","","https://uoalfarahidi.edu.iq","","","Baghdad","33.27035","44.360969","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q25450401"
"University of Fallujah","جامعة الفلوجة","public university","Baghdad","","http://uofallujah.edu.iq","","","Fallujah","33.357192","43.793413","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q22686995"
"College of Imam Al-Kadhim","كلية الإمام الكاظم للعلوم الإسلامية الجامعة","college","Baghdad","","http://www.alkadhum-col.edu.iq","","","Baghdad","33.37793994","44.42284686","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q22689357"
"Al-Nisour University","كلية النسور الجامعة","academic institution","Baghdad","","https://nuc.edu.iq/en","","","Baghdad","33.304367","44.35539","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q25450407"
"Albayan University","جامعة البيان","private university","Baghdad","","https://albayan.edu.iq","","","Baghdad","33.28447461","44.28194473","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q28715338"
"Al-Esraa University College","جامعة الإسراء","higher education institution","Baghdad","","https://www.esraa.edu.iq","","","Baghdad","","","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q130478447"
"Al Yarmouk University College","كلية اليرموك الجامعة","private university","Baghdad","","http://al-yarmok.com","07737497053","","Baqubah","33.3","44.44444444","needs_review","official-guide only","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q4705001"
"Baghdad College","كلية بغداد","school","Baghdad","","http://www.baghdadcollege.net","07827203218","","Baghdad, Al-Jadriya; Presidency of the University of Baghdad","33.38501944","44.37063333","needs_review","dual-source verified","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q4841810"
"Al-Turath University","جامعة التراث","private university","Baghdad","","https://uoturath.edu.iq","6112 ; 6113","","Baghdad","33.31846275","44.36075963","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q4704901"
"University of Basrah","جامعة البصرة","university","Basra","","http://www.uobasrah.edu.iq","","","Basra","","","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q1477607"
"University of Misan","جامعة ميسان","university","Basra","","http://www.uomisan.edu.iq","","","Amarah","31.8108","47.1758","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q7895817"
"Shatt Al-Arab University College","جامعة شط العرب","private university","Basra","","http://www.sa-cu.net","07717008900 ; 07837467331 ; 07811529720","","Basra","30.54416667","47.78833333","needs_review","official-guide only","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q7490673"
"Basrah University for Oil and Gas","جامعة البصرة للنفط والغاز","university","Basra","","https://buog.edu.iq","","","Basra","","","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q12204461"
"Iraq University College","دانشگاه کالج عراق","educational institution","Basra","","http://www.iraqiuniversity.net","","","Basra","30.509321","47.782235","needs_review","official-guide only","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q30266470"
"Al-Maaqal University","جامعة المعقل الأهلية","private university","Basra","","https://almaaqal.edu.iq","","","Basra","30.55710438","47.79653009","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q114756495"
"University of Duhok","جامعة دهوك","university","Nineveh","","http://uod.ac","","","Duhok","36.85924222","42.92168278","needs_review","KRG MoHE list","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q3666468"
"University of Mosul","جامعة الموصل","public university","Nineveh","","http://www.uomosul.edu.iq","","","Mosul","36.37648056","43.14218889","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q2743336"
"Tishk International University","جامعة تيشك","private university","Nineveh","","https://tiu.edu.iq","","","Erbil","36.169547","43.95729","official-ish","KRG MoHE list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q6080223"
"Nawroz University","جامعة نوروز","private university","Nineveh","","http://web.nawroz.edu.krd","","","Duhok","36.860566","42.896437","needs_review","KRG MoHE list","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12204548"
"American University of Kurdistan","الجامعة الأمريكية في كردستان","private university","Nineveh","","http://audk.edu.krd","","","Duhok","36.86143889","42.861675","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q18162019"
"Northern Technical University","الجامعة التقنية الشمالية","academic institution","Nineveh","","https://ntu.edu.iq","","","Mosul","36.383915","43.153716","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q25450423"
"Al-Kitab University","جامعة الكتاب","academic institution","Nineveh","","https://www.uoalkitab.edu.iq","","","Kirkuk Governorate","35.7600806","44.15531209","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q25450394"
"Ninevah University","جامعة نينوى","academic institution","Nineveh","","https://uoninevah.edu.iq","","","Mosul","","","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q25450275"
"Alnoor University","جامعة النور","academic institution","Nineveh","","https://alnoor.edu.iq","","","Shekhan District","36.35077387","43.36639459","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q25450337"
"Knowledge University","جامعة نولج","private university","Nineveh","","https://knu.edu.iq","","","Erbil","36.113511","44.045642","official-ish","KRG MoHE list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q38916258"
"Duhok Technical Institute","","university","Nineveh","","dhk-pti.com","","","Duhok","36.86137","42.98034","needs_review","KRG MoHE list","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q26856052"
"Cihan University-Duhok","جامعة جيهان - دهوک","university","Nineveh","","http://duhokcihan.edu.krd","","","Duhok","36.87842111","42.88687417","needs_review","KRG MoHE list","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q106916672"
"Koya University","جامعة كويه","university","Erbil","","http://www.koyauniversity.org","","","Erbil","","","needs_review","KRG MoHE list","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q1450490"
"Hawler Medical University","جامعة هولير الطبية","university","Erbil","","http://www.hmu.edu.krd","+964 66 2273383 ; +964 66 2273384","","Erbil","","","needs_review","dual-source verified","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q3666590"
"Salahaddin University-Erbil","جامعة صلاح الدين","university","Erbil","","https://su.edu.krd","","","Erbil","","","needs_review","KRG MoHE list","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q369629"
"Soran University","جامعة سوران","university","Erbil","","http://www.soran.edu.iq","","","Soran","36.6968","44.5289","official-ish","KRG MoHE list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q7563285"
"Cihan University-Erbil","جامعة جيهان","private university","Erbil","","http://www.cihanuniversity.edu.iq","","","Erbil","","","official-ish","KRG MoHE list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q18347698"
"International University of Erbil","جامعة أربيل الدولية","educational institution","Erbil","","ue.edu.krd","","","Erbil","","","needs_review","KRG MoHE list","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q23308948"
"knowledge university","جامعة نولج","educational institution","Erbil","","knu.edu.iq","","","Erbil","","","needs_review","KRG MoHE list","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q23308978"
"Catholic University in Erbil","الجامعة الكاثوليكية في أربيل","private university","Erbil","","http://www.cue.edu.krd","","","Erbil","","","needs_review","KRG MoHE list","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q28221491"
"Bayan University","جامعة بيان","private university","Erbil","","https://bnu.edu.iq","","","Erbil","","","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q25450518"
"Lebanese French University","الجامعة اللبنانية الفرنسية للأعمال والإدارة في أربيل","private university","Erbil","","https://lfu.edu.krd","","","Erbil","","","needs_review","KRG MoHE list","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q4836010"
"Erbil Polytechnic University","جامعة أربيل التقنية","academic institution","Erbil","","epu.edu.iq","","","Erbil","","","needs_review","KRG MoHE list","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q25450455"
"University of Karbala","جامعة كربلاء","public university","Anbar","","http://www.uokerbala.edu.iq","","","Karbala","32.6092","44.0031","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q4120426"
"University of AL-Maarif","جامعة المعارف","private university","Anbar","","http://www.auc-edu.org","07735544777 ; 07835544777","","Ramadi","33.43100972","43.33724723","needs_review","official-guide only","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q4704329"
"Ahlulbait University College","جامعة أهل البيت","private university","Anbar","","http://www.ahlulbaitonline.com/karbala","","","Karbala","32.64152171","43.99451327","needs_review","official-site corroborated","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q4695210"
"University of Anbar","جامعة الأنبار","university","Anbar","","http://www.uoanbar.edu.iq","","","Ramadi","33.4027","43.2623","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q7895053"
"University of Tikrit","جامعة تكريت","university","Anbar","","http://www.tu.edu.iq/en","","","Tikrit","34.6808","43.6548","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q7896464"
"Al-Zahrawi University","[جامعة الزهراوي","academic institution","Anbar","","https://www.alzahu.edu.iq","","","Karbala","32.51923252","44.11929246","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q25450349"
"University of Al-Ameed","جامعة العميد","higher education institution","Anbar","","https://alameed.edu.iq","","","Karbala","32.55824207","44.07394455","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q54874671"
"University of Diyala","جامعة ديالى","university","Diyala","","http://www.uodiyala.edu.iq","","","Baqubah","33.6789","44.5983","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q4120041"
"University of Babylon","جامعة بابل","university","Babil","","https://www.uobabylon.edu.iq","","","Hillah","32.3927","44.4013","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q7895102"
"University of Alkafeel","جامعة الكفيل","private university","Babil","","http://en.uch.edu.iq","","","Najaf","32.06863441","44.2901682","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q5939496"
"Al-Mustaqbal University","كلية المستقبل الجامعة","academic institution","Babil","","https://www.uomus.edu.iq","","","Hillah","32.39656703","44.40428882","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q25450310"
"University of Kufa","جامعة الكوفة","public university","Najaf","","http://kuiraq.com/en","","","Najaf","32.0196","44.3761","needs_review","Federal MoHESR list","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q4120419"
"University of Al-Qadisiyah","جامعة القادسية","public university","Najaf","","http://www.qadissuni.edu.iq","","","Al Diwaniyah","32.0006","44.8786","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q4120068"
"Islamic University of Najaf","الجامعة الإسلامية","university","Najaf","","https://iunajaf.edu.iq","","","Najaf city center","32.013272","44.360216","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q6082651"
"University of Wasit","جامعة واسط","educational institution","Wasit","","http://www.uowasit.edu.iq","","","Kut","32.5002","45.8385","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q4120037"
"University of Thi Qar","جامعة ذي قار","university","Maysan","","https://utq.edu.iq","","","Nasiriyah","31.0506","46.2208","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q1532864"
"AlManara University","جامعة المنارة","educational institution","Maysan","","https://uomanara.edu.iq","","","Maysan Governorate","","","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q42332086"
"National University of Science and Technology","الجامعة الوطنية للعلوم والتكنولوجيا","academic institution","Maysan","","https://nust.edu.iq","","","Nasiriyah","31.04399841","46.2706724","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q25450689"
"Al-Muthana University","جامعة المثنى","public university","Muthanna","","http://www.uoalmuthana.edu.iq","","","Samawah","31.33861111","45.28888889","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q4702996"
"University of Halabja","جامعة حلبجة","university","Halabja","","http://uoh.edu.iq","","","Kurdistan Region of Iraq","","","official-ish","KRG MoHE list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q21714634"
"University of Warith Al-Anbiyaa","جامعة وارث الأنبياء","educational institution","Karbala","","https://uowa.edu.iq","","","Karbala","","","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q40378878"
"Al-Safwa University College","جامعة الصفوة","higher education institution","Karbala","","https://www.alsafwa.edu.iq","","","Karbala","","","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q130478582"
"University of Sulaymaniyah","جامعة السليمانية","university","Sulaymaniyah","","http://univsul.edu.iq","","","Sulaymaniyah","","","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q3666593"
"Slemani Polytechnic University","جامعة السليمانية التقنية","university","Sulaymaniyah","","http://www.spu.edu.iq/ku","","","Sulaymaniyah","","","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q15261242"
"oil training institute","معهد التدريب النفطي","technical school","Sulaymaniyah","","http://www.elearningmoo.com/ar/institutes/boti.php","","","Kirkuk","35.49392049","44.36914985","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q112666313"
"The Music and Ballet School of Baghdad","مدرسة بغداد للموسيقى والباليه","music school","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q4117867"
"Al Mutamayizeen Secondary","ثانوية المتميزين","school","Baghdad","","","","","Baghdad","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q4704517"
"Dijla University College","كلية دجلة الجامعة","private university","Baghdad","","http://www.duc.edu.iq","","","Baghdad","33.26136671","44.41295645","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q4120429"
"The Gifted Students' School-Iraq","مدرسة الموهوبين","school","Baghdad","","http://iraqigs.com","","","Baghdad","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q7736424"
"Shamash School","مدرسة شماش","secondary school","Baghdad","","","","","Baghdad","33.3201","44.4205","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q7487432"
"Mosque of Morgan","جامع مرجان","school","Baghdad","","","","","Baghdad","33.339","44.3935","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12204368"
"معهد التكنولوجيا بغداد","معهد التكنولوجيا بغداد","institute of technology","Baghdad","","","","","Baghdad","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q6862113"
"Markaziyah High School","الإعدادية المركزية","secondary school","Baghdad","","","","","Baghdad","33.315","44.3661","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q6770580"
"دار المعلمين العالية","دار المعلمين العالية","school","Baghdad","","","","","Baghdad","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12211271"
"Mosque of Ahmadiyah","جامع الأحمدية","school","Baghdad","","","","","Baghdad","33.34361111","44.38583333","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12204184"
"المدرسة التتشية","المدرسة التتشية","school","Baghdad","","","","","Baghdad","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12192605"
"كلية الصيدلة جامعة بغداد","كلية الصيدلة جامعة بغداد","academic division","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q6840432"
"كلية الهندسة بجامعة بغداد","كلية الهندسة بجامعة بغداد","academic division","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q6840623"
"Kullīyat al-Ṭibb al-Bayṭarī","كلية الطب البيطري جامعة بغداد","academic division","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q6840449"
"كلية الادارة والاقتصاد جامعة بغداد","كلية الادارة والاقتصاد جامعة بغداد","academic division","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12235887"
"كلية التربية ابن الهيثم جامعة بغداد","كلية التربية ابن الهيثم جامعة بغداد","academic division","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12235907"
"The Arab History and Scientific Heritage Institute","معهد التاريخ العربي والتراث العلمي","academic institution","Baghdad","","https://unionarabhistorian.com/index","","","Baghdad Governorate","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q22690049"
"Mustansiriyya Madrasa","المدرسة المستنصرية","madrasa","Baghdad","","","","","Baghdad","33.3385","44.3896","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q15260416"
"College of Education Ibn Rushd University of Baghdad","كلية التربية ابن رشد جامعة بغداد","academic division","Baghdad","","https://ircoedu.uobaghdad.edu.iq","","","","33.353853","44.390924","official-ish","","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q12235909"
"University of Baghdad College of Fine Arts","كلية الفنون الجميلة","art academy","Baghdad","","","","","","33.3152","44.3676","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q16123483"
"Institute of Fine Art in Baghdad","معهد الفنون الجميلة","educational institution","Baghdad","","","","","Baghdad Governorate","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12244320"
"كلية التربية بجامعة بغداد","كلية التربية بجامعة بغداد","academic division","Baghdad","","","","","","33.35388634","44.39150043","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q12235925"
"كلية الإعلام جامعة بغداد","كلية الإعلام جامعة بغداد","academic division","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q20412375"
"Osol Aldeen University College","كلية أصول الدين الجامعة","academic institution","Baghdad","","","","","Baghdad","33.35460455","44.38739369","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q25450390"
"كلية المصطفى الجامعة","كلية المصطفى الجامعة","private university","Baghdad","","","","","Baghdad","33.36160807","44.39986551","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q25450392"
"كلية العراق صدر الجامعة","كلية العراق صدر الجامعة","private university","Baghdad","","","","","Baghdad","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q22689359"
"Kullīyat al-Isrāʼ al-Jāmiʻah","كلية الأسراء الجامعة","private university","Baghdad","","","","","Baghdad","33.31664309","44.42679928","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q25450393"
"كلية العلوم الإسلامية","كلية العلوم الإسلامية","university","Baghdad","","","","","Baghdad","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q22689360"
"Police College","","police college","Baghdad","","","","","","33.33432","44.43893","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q26856060"
"Al Mamoon","","university","Baghdad","","","","","","33.29949","44.32561","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q26856065"
"University of Baghdad Al-Waziriya Campus College of Administration and Economy","","business school","Baghdad","","","","","","","","needs_review","","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q99287166"
